datetime,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(0, 4)","(0, 5)","(0, 6)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(3, 0)","(3, 1)","(3, 2)","(3, 3)","(3, 4)","(3, 5)","(3, 6)","(4, 0)","(4, 1)","(4, 2)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(5, 0)","(5, 1)","(5, 2)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(6, 0)","(6, 1)","(6, 2)","(6, 3)","(6, 4)","(6, 5)","(6, 6)"
2014-05-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,8,13,24,26,11,0,0,1,1,32,69,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-05-01 00:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,8,14,22,27,10,0,0,1,1,30,71,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-05-01 00:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,7,14,24,25,8,1,0,0,1,37,65,7,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2014-05-01 00:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,7,13,26,26,9,0,0,0,2,30,66,7,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0
2014-05-01 00:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,10,14,25,24,6,1,0,0,2,33,67,6,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0
2014-05-01 00:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,7,15,24,28,7,0,1,0,1,29,71,6,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0
2014-05-01 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,5,9,25,31,6,0,1,0,1,42,64,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2014-05-01 01:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,4,12,20,31,6,0,0,0,1,39,68,8,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0
2014-05-01 01:20:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,9,11,19,29,6,0,0,0,2,31,75,4,0,0,0,0,0,3,0,1,0,0,1,0,0,1,0,0
2014-05-01 01:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,13,10,22,31,7,0,0,0,2,30,68,4,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0
2014-05-01 01:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,10,20,36,10,0,0,0,2,28,65,4,0,0,0,0,0,5,2,1,0,0,1,1,0,0,0,0
2014-05-01 01:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,9,13,24,26,10,0,0,0,1,25,72,4,0,0,0,0,1,5,2,1,0,0,0,1,0,0,0,0
2014-05-01 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,7,16,21,21,10,0,0,0,1,23,80,6,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0
2014-05-01 02:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,7,20,17,23,9,0,0,0,1,24,80,5,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0
2014-05-01 02:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,9,16,18,27,10,0,0,0,1,30,68,7,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0
2014-05-01 02:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,0,0,10,16,19,28,11,0,0,0,1,23,67,6,0,0,0,0,2,3,0,1,0,0,1,0,0,0,0,0
2014-05-01 02:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,1,0,0,7,15,23,22,12,0,0,0,1,22,71,6,0,0,0,0,1,6,0,1,0,0,1,0,0,0,0,0
2014-05-01 02:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,1,0,0,6,13,25,23,9,0,0,0,3,22,75,6,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0
2014-05-01 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,2,1,1,0,7,13,24,14,10,0,0,0,3,24,82,5,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
2014-05-01 03:10:00,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,1,0,1,0,7,14,18,17,9,0,0,0,5,26,87,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2014-05-01 03:20:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,3,1,0,1,0,7,10,22,19,9,0,0,1,4,26,81,5,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
2014-05-01 03:30:00,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,3,3,1,1,1,0,10,14,22,19,11,2,0,0,3,27,65,6,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1
2014-05-01 03:40:00,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,5,2,1,1,2,0,10,16,20,18,9,2,0,0,2,19,72,7,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,1
2014-05-01 03:50:00,0,1,0,1,0,0,0,0,2,0,1,0,0,0,1,7,1,1,1,2,0,9,16,21,16,8,1,0,0,2,18,75,8,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0
2014-05-01 04:00:00,0,1,0,1,0,0,0,1,2,0,2,0,0,0,1,5,2,1,2,1,0,7,14,22,14,8,1,1,1,2,19,75,9,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0
2014-05-01 04:10:00,0,0,0,1,0,0,1,1,2,1,1,0,0,0,3,6,1,2,1,0,0,7,14,21,15,10,2,1,2,1,15,78,7,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
2014-05-01 04:20:00,0,1,0,0,0,0,1,1,2,1,0,0,0,0,3,6,0,2,0,0,0,7,14,26,24,11,1,2,1,1,14,67,5,1,0,0,0,1,3,0,1,0,1,0,0,0,0,0,0
2014-05-01 04:30:00,0,1,0,0,0,0,1,1,1,0,0,0,0,0,2,5,0,2,0,0,0,7,16,27,26,9,1,0,1,1,16,67,6,2,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0
2014-05-01 04:40:00,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,4,0,2,0,0,0,4,15,27,29,12,1,0,0,1,17,69,7,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
2014-05-01 04:50:00,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,2,0,0,0,5,16,24,28,11,1,0,0,1,13,78,7,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0
2014-05-01 05:00:00,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,5,4,2,0,0,0,5,14,25,25,10,1,0,0,1,12,75,8,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0
2014-05-01 05:10:00,0,1,0,0,0,0,0,0,1,1,1,0,0,0,5,4,3,2,0,0,0,4,12,25,19,14,1,0,0,1,16,75,9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2014-05-01 05:20:00,0,1,0,0,0,0,0,0,2,1,1,0,0,0,4,8,2,3,0,0,0,5,15,18,19,14,1,0,0,1,18,70,10,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0
2014-05-01 05:30:00,0,3,0,0,0,0,0,1,3,1,1,0,0,0,4,8,3,2,0,0,0,5,13,21,19,12,1,0,0,0,17,71,9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2014-05-01 05:40:00,0,3,0,0,0,0,0,1,4,1,1,0,0,0,5,6,3,1,0,0,0,6,12,24,19,11,2,0,0,0,17,67,11,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2014-05-01 05:50:00,0,2,0,0,0,0,0,0,4,1,2,0,0,0,6,8,3,2,0,0,0,5,14,25,16,11,3,0,0,0,19,58,14,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
2014-05-01 06:00:00,0,2,0,0,0,0,0,0,3,2,2,0,0,0,5,7,3,2,0,0,0,8,13,24,16,10,2,0,0,3,19,56,16,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2014-05-01 06:10:00,0,3,0,0,0,0,0,0,1,2,1,0,0,0,3,7,3,2,0,0,0,8,15,25,20,10,3,0,0,1,19,57,15,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-05-01 06:20:00,0,3,0,0,0,0,0,0,2,2,1,0,0,0,4,7,2,1,1,0,0,8,13,25,23,13,2,1,0,0,19,52,14,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2014-05-01 06:30:00,0,3,0,0,0,0,0,0,2,2,1,0,0,0,4,6,3,1,2,0,0,7,14,24,22,15,2,0,0,0,16,54,15,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-05-01 06:40:00,0,4,0,0,0,0,0,0,2,1,1,0,0,0,4,7,3,2,3,1,0,7,17,25,23,14,3,0,0,0,14,45,17,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-05-01 06:50:00,0,4,0,0,0,0,0,0,2,2,1,0,0,0,3,6,3,4,3,1,0,10,18,27,27,12,2,0,0,0,11,40,18,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-05-01 07:00:00,0,4,0,0,0,0,0,0,2,2,1,0,0,0,5,6,2,3,2,1,1,9,17,29,22,13,2,0,0,0,11,45,16,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2014-05-01 07:10:00,0,3,0,0,0,0,1,0,2,2,1,0,0,0,4,6,1,2,2,1,0,8,17,30,20,15,2,0,0,0,12,47,16,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0
