index,ID,towerlocation,bottomleft,topright
0,"(0, 0)","(4695.5, -717.5)","(4694.5, -718.5)","(4696.5, -716.5)"
1,"(0, 1)","(4695.5, -715.5)","(4694.5, -716.5)","(4696.5, -714.5)"
2,"(0, 2)","(4695.5, -713.5)","(4694.5, -714.5)","(4696.5, -712.5)"
3,"(0, 3)","(4695.5, -711.5)","(4694.5, -712.5)","(4696.5, -710.5)"
4,"(0, 4)","(4695.5, -709.5)","(4694.5, -710.5)","(4696.5, -708.5)"
5,"(0, 5)","(4695.5, -707.5)","(4694.5, -708.5)","(4696.5, -706.5)"
6,"(0, 6)","(4695.5, -705.5)","(4694.5, -706.5)","(4696.5, -704.5)"
7,"(1, 0)","(4697.5, -717.5)","(4696.5, -718.5)","(4698.5, -716.5)"
8,"(1, 1)","(4697.5, -715.5)","(4696.5, -716.5)","(4698.5, -714.5)"
9,"(1, 2)","(4697.5, -713.5)","(4696.5, -714.5)","(4698.5, -712.5)"
10,"(1, 3)","(4697.5, -711.5)","(4696.5, -712.5)","(4698.5, -710.5)"
11,"(1, 4)","(4697.5, -709.5)","(4696.5, -710.5)","(4698.5, -708.5)"
12,"(1, 5)","(4697.5, -707.5)","(4696.5, -708.5)","(4698.5, -706.5)"
13,"(1, 6)","(4697.5, -705.5)","(4696.5, -706.5)","(4698.5, -704.5)"
14,"(2, 0)","(4699.5, -717.5)","(4698.5, -718.5)","(4700.5, -716.5)"
15,"(2, 1)","(4699.5, -715.5)","(4698.5, -716.5)","(4700.5, -714.5)"
16,"(2, 2)","(4699.5, -713.5)","(4698.5, -714.5)","(4700.5, -712.5)"
17,"(2, 3)","(4699.5, -711.5)","(4698.5, -712.5)","(4700.5, -710.5)"
18,"(2, 4)","(4699.5, -709.5)","(4698.5, -710.5)","(4700.5, -708.5)"
19,"(2, 5)","(4699.5, -707.5)","(4698.5, -708.5)","(4700.5, -706.5)"
20,"(2, 6)","(4699.5, -705.5)","(4698.5, -706.5)","(4700.5, -704.5)"
21,"(3, 0)","(4701.5, -717.5)","(4700.5, -718.5)","(4702.5, -716.5)"
22,"(3, 1)","(4701.5, -715.5)","(4700.5, -716.5)","(4702.5, -714.5)"
23,"(3, 2)","(4701.5, -713.5)","(4700.5, -714.5)","(4702.5, -712.5)"
24,"(3, 3)","(4701.5, -711.5)","(4700.5, -712.5)","(4702.5, -710.5)"
25,"(3, 4)","(4701.5, -709.5)","(4700.5, -710.5)","(4702.5, -708.5)"
26,"(3, 5)","(4701.5, -707.5)","(4700.5, -708.5)","(4702.5, -706.5)"
27,"(3, 6)","(4701.5, -705.5)","(4700.5, -706.5)","(4702.5, -704.5)"
28,"(4, 0)","(4703.5, -717.5)","(4702.5, -718.5)","(4704.5, -716.5)"
29,"(4, 1)","(4703.5, -715.5)","(4702.5, -716.5)","(4704.5, -714.5)"
30,"(4, 2)","(4703.5, -713.5)","(4702.5, -714.5)","(4704.5, -712.5)"
31,"(4, 3)","(4703.5, -711.5)","(4702.5, -712.5)","(4704.5, -710.5)"
32,"(4, 4)","(4703.5, -709.5)","(4702.5, -710.5)","(4704.5, -708.5)"
33,"(4, 5)","(4703.5, -707.5)","(4702.5, -708.5)","(4704.5, -706.5)"
34,"(4, 6)","(4703.5, -705.5)","(4702.5, -706.5)","(4704.5, -704.5)"
35,"(5, 0)","(4705.5, -717.5)","(4704.5, -718.5)","(4706.5, -716.5)"
36,"(5, 1)","(4705.5, -715.5)","(4704.5, -716.5)","(4706.5, -714.5)"
37,"(5, 2)","(4705.5, -713.5)","(4704.5, -714.5)","(4706.5, -712.5)"
38,"(5, 3)","(4705.5, -711.5)","(4704.5, -712.5)","(4706.5, -710.5)"
39,"(5, 4)","(4705.5, -709.5)","(4704.5, -710.5)","(4706.5, -708.5)"
40,"(5, 5)","(4705.5, -707.5)","(4704.5, -708.5)","(4706.5, -706.5)"
41,"(5, 6)","(4705.5, -705.5)","(4704.5, -706.5)","(4706.5, -704.5)"
42,"(6, 0)","(4707.5, -717.5)","(4706.5, -718.5)","(4708.5, -716.5)"
43,"(6, 1)","(4707.5, -715.5)","(4706.5, -716.5)","(4708.5, -714.5)"
44,"(6, 2)","(4707.5, -713.5)","(4706.5, -714.5)","(4708.5, -712.5)"
45,"(6, 3)","(4707.5, -711.5)","(4706.5, -712.5)","(4708.5, -710.5)"
46,"(6, 4)","(4707.5, -709.5)","(4706.5, -710.5)","(4708.5, -708.5)"
47,"(6, 5)","(4707.5, -707.5)","(4706.5, -708.5)","(4708.5, -706.5)"
48,"(6, 6)","(4707.5, -705.5)","(4706.5, -706.5)","(4708.5, -704.5)"
